,Player,From / To,Date,Price
180,"Rasmus Højlund
F (C)","Atalanta
Man Utd",05-08-2023,€73.9M
181,"Josko Gvardiol
D (CL)","RB Leipzig
Man City",05-08-2023,€90M
182,"Harvey Woods
AM (C)","Southampton
FC Melksham Town",01-07-2023,Free
183,"Casey Pettit
DM, M (C)","Luton
Maidenhead United",04-08-2023,Free
184,"Axel Disasi
D (CR)","Monaco
Chelsea",04-08-2023,€45M
185,"Brooklyn Kabongolo
D (C)","Ipswich Town
Billericay Town",01-07-2023,Free
186,"Oludare Olufunwa
D (C)","Liverpool
St. Johnstone",01-07-2023,Free
187,"Jack Hodnett
M (C)","Wolverhampton
Shifnal Town",01-07-2023,Free
188,Sam Bentley,"Luton
St. Albans City",03-08-2023,Free
189,Carlos Forbs,"Man City
Ajax",03-08-2023,€14M
190,"Matija Sarkic
GK","Wolverhampton
Millwall",03-08-2023,€1.4M
191,"Auston Trusty
D (CL)","Arsenal
Sheff Utd",03-08-2023,€5.8M
192,"Thomas Kaminski
GK","Blackburn
Luton",03-08-2023,€2.9M
193,"Sam McClelland
D (CR)","Chelsea
St. Johnstone",01-07-2023,Free
194,"Lee Harkin
AM (L), F (C)","Wolverhampton
Coleraine",01-07-2023,Free
195,"Aaron Connolly
F (C)","Brighton
Hull City",02-08-2023,€1.4M
196,"Aaron Pressley
F (C)","Brentford
Stevenage",02-08-2023,Free
197,"Manuel Lanzini
AM, M (C)","West Ham United
River Plate",02-08-2023,Free
198,"Lucas Moura
M (CRL)","Tottenham
Sao Paulo",02-08-2023,Free
199,"Billy Fewster
M (R), DM (RL)","Nottingham
Alfreton Town",01-07-2023,Free
200,"Lewis Ridd
GK","Ipswich Town
Derby",01-08-2023,Free
201,"Freddie Bell
M (C)","C. Palace
Penn State Nittany Lions",01-08-2023,Free
202,Harrison Parker,"Man Utd
Man City",01-08-2023,€0.8M
203,"Marqes Muir
D (L)","Tottenham
Kentucky Wildcats (University of Kentucky)",01-08-2023,Free
204,"Braian Ojeda
M, DM (C)","Nottingham
Salt Lake",01-08-2023,€3.6M
205,"Chris Francis
D (CL)","B'mouth
C. Palace",01-08-2023,Free
206,"Iliman Ndiaye
F, AM (C)","Sheff Utd
Marseille",01-08-2023,€17M
207,"Luke Matheson
D (R)","Wolverhampton
Bolton Wanderers",01-08-2023,Free
208,"Mohammed Salisu
D (CL)","Southampton
Monaco",01-08-2023,€15M
209,"Lesley Ugochukwu
DM, M (C)","Stade Rennais
Chelsea",01-08-2023,€27M
210,"Jack Colback
DM (C), M (CL)","Nottingham
QPR",01-07-2023,Free
211,Callum Nicolson,"Luton
AFC Dunstable",31-07-2023,Free
212,"Tom Smith
GK","Arsenal
Colchester",31-07-2023,Free
213,"Ackeme Francis-Burrell
DM (R)","Wolverhampton
Stockport",31-07-2023,Free
214,"Di'Shon Bernard
D (C)","Man Utd
Sheff Wed",31-07-2023,Free
215,"Fabinho
DM, M (C)","Liverpool
Al-Ittihad",31-07-2023,€46.7M
216,"Stephy Mavididi
F, M (L)","Montpellier
Leicester",31-07-2023,€7.5M
217,"Conor Lawless
AM (C)","Luton
Dagenham",01-07-2023,Free
218,"Allan Saint-Maximin
F, M (L)","Newcastle Utd.
Al Ahli",30-07-2023,€27.2M
219,"Matthew Vigor
DM (L)","C. Palace
Cray Valley Paper Mills",01-07-2023,Free
220,"Karl Darlow
GK","Newcastle Utd.
Leeds United",29-07-2023,€0.4M
221,"Ryan Giles
D, AM (L)","Wolverhampton
Luton",28-07-2023,€5.9M
222,"Wesley Moraes
F (C)","Aston Villa
Stoke City",28-07-2023,Free
223,"Calvin Bassey
D (CL)","Ajax
Fulham",28-07-2023,€22.5M
224,"Riyad Mahrez
F, M (R)","Man City
Al Ahli",28-07-2023,€35M
225,"Fynn Talley
GK","Brighton
Peterborough",27-07-2023,Free
226,"Christos Kalogerakis
M (C)","Chelsea
Anderlecht",27-07-2023,Free
227,"Sami Tlemcani
GK","Chelsea
AEK",01-07-2023,Free
228,"Jordan Henderson
M (C)","Liverpool
Al-Ettifaq",27-07-2023,€14M
229,"Mohamed Elyounoussi
F (L), M (C)","Southampton
Kobenhavn",01-07-2023,Free
230,"Igor
D (CL)","Fiorentina
Brighton",26-07-2023,€16.2M
231,"Adedire Mebude
F (CR)","Man City
Westerlo",26-07-2023,€1.8M
232,"Matt Hall
GK","Southampton
Bristol Rovers",01-07-2023,Free
233,"Sam Surridge
F (C)","Nottingham
Nashville SC",25-07-2023,€5.8M
234,"Raúl Jiménez
F (C)","Wolverhampton
Fulham",25-07-2023,€6.4M
235,"Luca Koleosho
M (R)","Espanyol
Burnley",25-07-2023,€3M
236,"Anthony Elanga
F, M (R)","Man Utd
Nottingham",25-07-2023,€17.5M
237,"Taylor Perry
M (C)","Wolverhampton
Shrewsbury Town",24-07-2023,Free
238,"Carlos Mendes
F (R), M (L)","Luton
Bolton Wanderers",24-07-2023,€0.3M
239,"Wilfried Zaha
F, M (L)","C. Palace
Galatasaray",01-07-2023,Free
240,"Harvey Barnes
F, M, AM (L)","Leicester
Newcastle Utd.",23-07-2023,€44M
241,"Alex Telles
D (L)","Man Utd
Al-Nassr",23-07-2023,€4.6M
242,Bobby Thomas,"Burnley
Coventry",22-07-2023,€2.3M
243,"Moussa Diaby
F (CR), M (R)","Bayer 04
Aston Villa",22-07-2023,€55M
244,"Ola Aina
D (RL)","Torino
Nottingham",22-07-2023,Free
245,"Reda Khadra
M (L)","Brighton
Reims",21-07-2023,€1.9M
246,"Joe Pigott
F (C)","Ipswich Town
Leyton Orient",21-07-2023,Free
247,"Laurence Shala
GK","C. Palace
Wycombe",21-07-2023,Free
248,"Nathan Redmond
M (RL)","Besiktas
Burnley",21-07-2023,Free
249,"Pierre-Emerick Aubameyang
F (C)","Chelsea
Marseille",21-07-2023,Free
250,"Daniel Amartey
D (C)","Leicester
Besiktas",01-07-2023,Free
251,Harley Curtis,"Ipswich Town
Chesterfield",20-07-2023,Free
252,"Björn Hardley
D (C)","Man Utd
Utrecht",20-07-2023,Free
253,"Matt Doherty
D, M (R)","Atlético
Wolverhampton",20-07-2023,Free
254,"James Trafford
GK","Man City
Burnley",20-07-2023,€17.3M
255,"André Onana
GK","Inter
Man Utd",20-07-2023,€50.2M
256,"Marvelous Nakamba
DM, M (C)","Aston Villa
Luton",20-07-2023,€2.9M
257,"Milos Kerkez
D, M (L)","AZ
B'mouth",19-07-2023,€17.9M
258,"Zeki Amdouni
F, AM (C)","Basel
Burnley",19-07-2023,€18.6M
259,"Ethan Ampadu
DM, D (C)","Chelsea
Leeds United",19-07-2023,€8.1M
260,"Benjamin Mendy
D (L)","Man City
Lorient",19-07-2023,Free
261,"Bénie Traoré
F (C)","Hacken
Sheff Utd",18-07-2023,€4.6M
262,"Jonny Evans
D (C)","Leicester
Man Utd",18-07-2023,Free
263,Mads Hermansen,"Brondby
Leicester",18-07-2023,€7.7M
264,"Asmir Begovic
GK","Everton
QPR",17-07-2023,Free
265,"Mads Bidstrup
M, DM (C)","Brentford
RB Salzburg",17-07-2023,€6M
266,"Thanawat Suengchitthawon
AM, M (C)","Leicester
Muangthong (SCG) United",01-07-2023,Free
267,"Mipo Odubeko
F (C)","West Ham United
Maritimo",01-07-2023,Free
268,"Matthew Healy
M (C)","Ipswich Town
Boussu",01-07-2023,Free
269,"Iwan Roberts
M, AM (C)","Liverpool
Bala",15-07-2023,Free
270,"Dion Sanderson
D (C)","Wolverhampton
Birmingham City",15-07-2023,€2.3M
271,"Halil Dervisoglu
F, AM (C)","Brentford
Galatasaray",15-07-2023,€0.5M
272,"Declan Rice
DM, M (C)","West Ham United
Arsenal",15-07-2023,€116.6M
273,"Jack Bearne
M (R)","Liverpool
Greenock",01-07-2023,Free
274,"Deji Sotona
M (R)","Burnley
Doncaster Rovers",14-07-2023,Free
275,"Yangel Herrera
M, DM (C)","Man City
Girona",14-07-2023,€5M
276,"Jurrien Timber
D (CL)","Ajax
Arsenal",14-07-2023,€40M
277,"Tahith Chong
AM, M (C)","Birmingham City
Luton",14-07-2023,€4.7M
278,Nathan James,"Burnley
Barnsley",01-07-2023,Free
279,"Joel Valencia
M (CL)","Brentford
Zaglebie",01-07-2023,Free
280,"Ben Wilson
F (C)","Brighton
Cliftonville",13-07-2023,Free
281,"Kane Vincent-Young
D (R)","Ipswich Town
Wycombe",13-07-2023,Free
282,"Anis Slimane
M, AM (C)","Brondby
Sheff Utd",13-07-2023,€2.7M
283,"George Hirst
F (C)","Leicester
Ipswich Town",13-07-2023,€1.8M
284,"Romain Faivre
M (CR), AM (C)","Lyon
B'mouth",13-07-2023,€15M
285,"Christian Pulisic
F, M (R)","Chelsea
Milan",13-07-2023,€20M
286,"Ashley Young
D (RL)","Aston Villa
Everton",13-07-2023,Free
287,"Jordan Smith
GK","Nottingham
Stockport",01-07-2023,Free
288,Josh Swan,"Luton
Newport Pagnell Town FC",12-07-2023,Free
289,"Pau Torres
D (C)","Villarreal
Aston Villa",12-07-2023,€33M
290,"Shea Charles
DM, M (C)","Man City
Southampton",12-07-2023,€12.3M
291,"Junior Dixon
F, AM (C)","C. Palace
Birmingham City",01-07-2023,Free
292,"Ryan Manning
D (L)","Swansea
Southampton",11-07-2023,Free
293,"Manor Solomon
F, M (L)","Shakhtar D.
Tottenham",11-07-2023,Free
294,"Abdul Rahman Baba
D (L)","Chelsea
PAOK",10-07-2023,Free
295,"Ishé Samuels-Smith
D (CL), M (L)","Everton
Chelsea",08-07-2023,€4.7M
296,"Ben Pearson
DM, AM (C)","B'mouth
Stoke City",08-07-2023,€1.5M
297,"Neeskens Kebano
M (L)","Fulham
Al-Jazira",08-07-2023,Free
298,"Cafú
M, DM (C)","Nottingham
Rotherham",01-07-2023,Free
299,"Lorent Tolaj
F (C)","Brighton
Aldershot Town",07-07-2023,Free
300,"Charlie Wilson
D (CL)","Everton
Norwich",07-07-2023,Free
301,"Ryan Bartley
D, M (R)","C. Palace
Derby",07-07-2023,Free
302,"Morgan Rogers
M (CL)","Man City
Middlesbrough",07-07-2023,€1.2M
303,"Ellis Simms
F (C)","Everton
Coventry",07-07-2023,€7M
304,"Hayao Kawabe
M (C)","Wolverhampton
Standard",07-07-2023,€1.5M
305,"Sonny Bradley
D (C)","Luton
Derby",01-07-2023,Free
306,"Pontus Jansson
D (C)","Brentford
Malmo",01-07-2023,Free
307,Elijah Gift,"Liverpool
Athletic",06-07-2023,€0.8M
308,Freddie Cook,"Leicester
Cardiff City",06-07-2023,Free
309,"Josh McNamara
GK","Man City
Southampton",06-07-2023,Free
310,"César Azpilicueta
D (CR)","Chelsea
Atlético",06-07-2023,Free
311,"Granit Xhaka
DM, M (C)","Arsenal
Bayer 04",06-07-2023,€15M
312,"Ayoze Pérez
F, M (L)","Leicester
Real Betis",06-07-2023,Free
313,"Mason Mount
M (C), AM (CL)","Chelsea
Man Utd",05-07-2023,€64.2M
314,"Çağlar Söyüncü
D (C)","Leicester
Atlético",05-07-2023,Free
315,"Enda Stevens
D, M (L)","Sheff Utd
Stoke City",05-07-2023,Free
316,"Derrick Abu
D (R)","Chelsea
Southampton",01-07-2023,Free
317,"Maliq Cadogan
AM (RL)","C. Palace
Swansea",04-07-2023,Free
318,"Alex Gilbert
F (L)","Brentford
Middlesbrough",04-07-2023,Free
319,"Roberto Firmino
F, M (C)","Liverpool
Al Ahli",04-07-2023,Free
320,"Nathan Collins
D (CRL)","Wolverhampton
Brentford",04-07-2023,€26.9M
321,"Richard Keogh
D (C)","Ipswich Town
Wycombe",01-07-2023,Free
322,"Bart Verbruggen
GK","Anderlecht
Brighton",03-07-2023,€20M
323,"Rico Richards
M (L), AM (C)","West Bromwich
Aston Villa",03-07-2023,Free
324,"Sandro Tonali
M, DM (C)","Milan
Newcastle Utd.",03-07-2023,€64M
325,"Lewis Gibson
D (CL)","Everton
Plymouth",03-07-2023,Free
326,Theo Williams,"Sheff Utd
Fleetwood",02-07-2023,Free
327,"Dominik Szoboszlai
M (C), AM (CL)","RB Leipzig
Liverpool",02-07-2023,€70M
328,"Teodor Minchev
D (C)","Arsenal
Swansea",01-07-2023,Free
329,"Manni Norkett
F (C), M (R)","Man Utd
Nottingham",01-07-2023,Free
330,"Isaac Westendorf
F (C)","Newcastle Utd.
Larne",01-07-2023,Free
331,"Ronny Nelson
D (C)","Leicester
Colchester",01-07-2023,Free
332,Tarik Gidaree,"B'mouth
Harrow Borough FC",01-07-2023,Free
333,Osa Solomon,"Nottingham
Grantham Town",01-07-2023,Free
334,"João Pedro
F, M, AM (C)","Watford
Brighton",01-07-2023,€34.2M
335,"Mahmoud Dahoud
M, DM (C)","Dortmund
Brighton",01-07-2023,Free
336,"James Milner
M (C), D (R)","Liverpool
Brighton",01-07-2023,Free
